Customer_ID,Horizon_Years,Monthly_Investment_Used,SIP_Policy,Expected_Return_pa_%,Starting_Principal,Total_Principal,Final_Corpus,Gains
CUST200000,14,1519.28,surplus_based,7.17,949585.0,1204823.94,2932838.09,1728014.15
CUST200001,17,104102.96,surplus_based,8.67,9004814.0,30241817.75,83622580.69,53380762.94
CUST200002,6,1000.0,min_enforced,10.24,0.0,72000.0,97453.99,25453.99
CUST200003,1,1000.0,min_enforced,10.29,147411.0,159411.0,175131.01,15720.01
CUST200004,16,1000.0,min_enforced,5.07,2805939.0,2997939.0,6478114.77,3480175.77
CUST200005,4,1000.0,min_enforced,4.09,6211650.0,6259650.0,7344926.7,1085276.7
CUST200006,11,1000.0,min_enforced,13.1,3629224.0,3761224.0,14331993.9,10570769.9
CUST200007,9,45787.24,surplus_based,7.48,28532018.0,33477040.06,61546137.8,28069097.74
CUST200008,10,57603.3,surplus_based,12.06,26237564.0,33149960.12,94726848.88,61576888.76
CUST200009,2,1000.0,min_enforced,3.74,0.0,24000.0,24866.12,866.12
CUST200010,12,1000.0,min_enforced,12.32,1747642.0,1891642.0,7356422.48,5464780.48
CUST200011,5,1000.0,min_enforced,6.86,2158876.0,2218876.0,3079645.2,860769.2
CUST200012,9,11891.31,surplus_based,7.99,2423014.0,3707275.88,6685590.06,2978314.18
CUST200013,2,1000.0,min_enforced,6.1,3100683.0,3124683.0,3515703.46,391020.46
CUST200014,14,1000.0,min_enforced,9.18,3831186.0,3999186.0,13430153.46,9430967.46
CUST200015,6,18011.78,surplus_based,10.31,47810.0,1344657.87,1844955.43,500297.56
CUST200016,5,1000.0,min_enforced,9.02,0.0,60000.0,74777.72,14777.72
CUST200017,22,70680.24,surplus_based,8.15,25768742.0,44428325.08,194206376.05,149778050.97
CUST200018,3,1000.0,min_enforced,4.53,0.0,36000.0,38430.99,2430.99
CUST200019,3,61591.4,surplus_based,8.89,45135837.0,47353127.29,60800391.62,13447264.33
CUST200020,11,1000.0,min_enforced,8.78,11680781.0,11812781.0,29684165.64,17871384.64
CUST200021,3,1000.0,min_enforced,7.52,5145984.0,5181984.0,6435915.4,1253931.4
CUST200022,3,1000.0,min_enforced,4.14,4109230.0,4145230.0,4679685.71,534455.71
CUST200023,16,7033.43,surplus_based,3.47,7840236.0,9190654.08,15321315.7,6130661.62
CUST200024,17,74052.01,surplus_based,9.65,24480195.0,39586804.36,153536389.14,113949584.78
CUST200025,18,2550.28,surplus_based,6.05,3580338.0,4131198.48,11281372.76,7150174.28
CUST200026,16,3664.78,surplus_based,10.86,1625537.0,2329175.0,10242033.48,7912858.47
CUST200027,13,13967.49,surplus_based,8.57,2846907.0,5025836.04,12181703.83,7155867.79
CUST200028,15,59839.47,surplus_based,10.98,24412361.0,35183466.21,142429300.12,107245833.91
CUST200029,8,3907.77,surplus_based,11.69,5155427.0,5530572.69,13087014.86,7556442.17
CUST200030,14,7627.79,surplus_based,8.89,3201846.0,4483314.11,13006613.19,8523299.08
CUST200031,2,1306.4,surplus_based,8.92,470292.0,501645.52,592005.97,90360.44
CUST200032,11,7047.79,surplus_based,3.54,4213770.0,5144078.12,7311166.57,2167088.45
CUST200033,5,1000.0,min_enforced,5.75,5627594.0,5687594.0,7510645.3,1823051.3
CUST200034,8,6589.51,surplus_based,10.67,11592185.0,12224778.31,27051190.71,14826412.4
CUST200035,10,1000.0,min_enforced,7.93,5029648.0,5149648.0,10965186.41,5815538.41
CUST200036,6,1000.0,min_enforced,5.77,3121108.0,3193108.0,4455643.34,1262535.34
CUST200037,14,1000.0,min_enforced,7.68,2630081.0,2798081.0,7705846.31,4907765.31
CUST200038,6,1000.0,min_enforced,3.67,0.0,72000.0,80261.06,8261.06
CUST200039,2,6120.69,surplus_based,5.67,6827062.0,6973958.67,7778333.41,804374.73
CUST200040,11,1000.0,min_enforced,11.43,1633113.0,1765113.0,5621384.46,3856271.46
CUST200041,19,41747.53,surplus_based,10.96,32814029.0,42332466.2,266533015.4,224200549.2
CUST200042,2,4574.88,surplus_based,13.28,2361296.0,2471093.22,3154393.96,683300.74
CUST200043,14,4396.42,surplus_based,11.53,573503.0,1312102.39,4380662.78,3068560.4
CUST200044,12,66268.27,surplus_based,10.6,60382901.0,69925532.19,220845639.36,150920107.18
CUST200045,19,2822.76,surplus_based,9.08,2888277.0,3531866.15,16700312.84,13168446.68
CUST200046,3,7130.52,surplus_based,10.63,1495927.0,1752625.58,2324190.81,571565.23
CUST200047,6,3453.5,surplus_based,8.88,2019705.0,2268356.77,3688792.08,1420435.31
