Customer_ID,scaled_Current_Net_Worth,scaled_Savings_Rate(%),scaled_Goal_Amount(₹),Primary_Financial_Goal_Education,Primary_Financial_Goal_Emergency_Fund,Primary_Financial_Goal_House,Primary_Financial_Goal_Retirement,Primary_Financial_Goal_Wealth,Current_Net_Worth,Savings_Rate(%),Goal_Amount(₹),Primary_Financial_Goal,cluster,cluster_label
CUST200000,-0.5721606302736234,-0.1662290646014621,-0.0057812423240259,0.0,0.0,0.0,1.0,0.0,949585.0,22.13,5497227.0,Retirement,1,Lower NW • Stability focus
CUST200001,0.1560363732267159,1.4123831333105574,1.9592048822739867,0.0,0.0,0.0,1.0,0.0,9004814.0,41.86,17765667.0,Retirement,1,Lower NW • Stability focus
CUST200002,-0.6729689778095326,-1.7008353472143631,-0.8240806801138625,0.0,1.0,0.0,0.0,0.0,-165545.0,2.95,388154.0,Emergency_Fund,1,Lower NW • Stability focus
CUST200003,-0.6446775882751752,-1.7248385737411551,-0.8165812306881773,0.0,1.0,0.0,0.0,0.0,147411.0,2.65,434977.0,Emergency_Fund,1,Lower NW • Stability focus
CUST200004,-0.4043452372865502,-0.987139411817748,-0.5693748850433006,0.0,0.0,0.0,1.0,0.0,2805939.0,11.87,1978416.0,Retirement,1,Lower NW • Stability focus
CUST200005,-0.0964671440643532,-0.8887261830579009,-0.8018007981678118,0.0,0.0,1.0,0.0,0.0,6211650.0,13.1,527259.0,House,4,Mid NW • Short-term
CUST200006,-0.3299198336106551,-0.879924999998077,-0.4584373938604206,0.0,0.0,1.0,0.0,0.0,3629224.0,13.21,2671057.0,House,4,Mid NW • Short-term
CUST200007,1.9213060433428408,1.889247233642825,0.9747621200869154,0.0,0.0,0.0,0.0,1.0,28532018.0,47.82,11619274.0,Wealth,2,High NW • Goal mix
CUST200008,1.7138861763881748,1.6284121720516855,-0.4985496701576984,0.0,0.0,0.0,0.0,1.0,26237564.0,44.56,2420615.0,Wealth,2,High NW • Goal mix
CUST200009,-0.6748628689978938,-1.704035777417935,-0.8106163310552754,1.0,0.0,0.0,0.0,0.0,-186495.0,2.91,472219.0,Education,3,Low NW • Emergency/Liquidity
