Customer_ID,Age,Gender,Occupation,Marital_Status,Number_of_Dependents,Annual_Income,Salary_Bracket,Monthly_Expenses,Expense_Growth_Rate(%),Savings_Rate(%),Loan_EMI_Obligations,Current_Net_Worth,Debt_to_Income_Ratio,Credit_Score,Risk_Taking_Ability,Investment_Experience(Years),Financial_Knowledge_Score,Past_Investment_Returns(%),Preferred_Investment_Horizon,Primary_Financial_Goal,Goal_Amount(₹),Goal_Timeline(Years),Current_Investment_Type,Pandemic_Impact_Factor,War_Impact_Factor,Inflation_Rate_At_Investment_Start,GDP_Growth_Rate,Market_Volatility_Index,RealEstate_%,Equity_%,Debt_%,Cash_%,Gold_%,Health_Insurance_Coverage(₹),Life_Insurance_Coverage(₹),Emergency_Fund_Balance(₹),Insurance_Type,Insurance_Times
CUST200000,30,Male,Self-employed,Married,2,355387.0,Low,11063.0,6.08,22.13,17.0,949585.0,0.37,794,High,3.2,7.4,-17.03,Medium,Retirement,5497227.0,14,Mutual Funds,-0.091,-0.016,5.11,6.04,26.3,12.49,55.62,10.74,14.68,6.47,99600.0,4264600.0,88500.0,Both,High
CUST200001,30,Female,Salaried,Married,2,2984318.0,High,122087.0,3.97,41.86,0.0,9004814.0,0.39,791,Medium,1.7,6.8,11.84,Medium,Retirement,17765667.0,17,Mutual Funds,-0.118,-0.105,5.83,7.31,26.1,25.96,29.21,22.54,15.3,6.99,1220900.0,35811800.0,1220900.0,Both,High
CUST200002,23,Male,Salaried,Single,2,97559.0,Low,7256.0,7.44,2.95,35.09,-165545.0,0.3,650,Medium,0.5,2.4,21.2,Long,Emergency_Fund,388154.0,6,Mutual Funds,-0.022,0.006,4.45,7.2,12.7,16.85,27.19,32.8,17.4,5.76,54400.0,975600.0,65300.0,Both,High
CUST200003,59,Female,Retired,Single,1,143720.0,Low,9874.0,7.7,2.65,18.94,147411.0,0.64,486,Medium,14.9,9.6,18.32,Short,Emergency_Fund,434977.0,1,Mutual Funds,-0.09,-0.048,5.0,6.0,20.0,20.82,35.19,28.93,9.99,5.07,96300.0,1437200.0,53300.0,Both,Medium
CUST200004,43,Female,Self-employed,Single,0,1124007.0,Medium,35588.0,6.54,11.87,14.0,2805939.0,0.38,671,Low,11.3,9.6,1.74,Medium,Retirement,1978416.0,16,Bonds,-0.153,0.032,5.0,6.0,20.0,13.96,17.1,48.33,15.37,5.24,266900.0,8992100.0,320300.0,Life,Medium
CUST200005,60,Male,Self-employed,Married,2,1454231.0,Medium,69656.0,4.19,13.1,17.99,6211650.0,0.33,705,Low,19.1,5.0,-2.09,Short,House,527259.0,4,Bonds,-0.132,-0.05,5.83,7.31,26.1,11.32,12.96,48.33,15.96,11.43,870700.0,18905000.0,626900.0,Both,High
CUST200006,73,Male,Retired,Single,3,511590.0,Low,23636.0,5.1,13.21,21.32,3629224.0,0.37,592,High,30.3,7.4,25.0,Short,House,2671057.0,11,Stocks,-0.094,-0.06,5.11,6.04,26.3,14.97,50.48,21.27,8.49,4.79,265900.0,6139100.0,212700.0,Both,High
CUST200007,56,Female,Business,Married,3,1652969.0,High,74571.0,2.88,47.82,14.58,28532018.0,0.13,806,Medium,7.1,6.5,5.96,Short,Wealth,11619274.0,9,Mutual Funds,-0.063,-0.018,5.0,6.0,20.0,28.75,25.78,26.7,11.26,7.5,988100.0,23141600.0,671100.0,Both,High
CUST200008,54,Male,Self-employed,Married,1,1858171.0,High,68456.0,7.65,44.56,7.36,26237564.0,0.28,760,High,13.3,2.9,18.41,Short,Wealth,2420615.0,10,Stocks,-0.181,-0.073,5.0,6.0,20.0,20.45,55.43,8.54,10.55,5.03,735900.0,22298100.0,684600.0,Both,High
CUST200009,24,Female,Student,Single,2,100507.0,Low,6166.0,7.48,2.91,5.76,-186495.0,0.62,423,Low,3.0,7.0,-5.44,Long,Education,472219.0,2,Mutual Funds,-0.093,-0.035,5.83,7.31,26.1,14.16,17.49,40.61,16.99,10.75,46200.0,1005100.0,44400.0,None,High
